Date/Time,Year,Month,Total Snow (cm)
Jan-67,1967,1,30
Feb-67,1967,2,14
Mar-67,1967,3,31.8
Apr-67,1967,4,4.3
May-67,1967,5,0
Jun-67,1967,6,7.1
Jul-67,1967,7,0
Aug-67,1967,8,0
Sep-67,1967,9,0
Oct-67,1967,10,7.6
Nov-67,1967,11,9.7
Dec-67,1967,12,33.3
Jan-68,1968,1,27.9
Feb-68,1968,2,3
Mar-68,1968,3,14.7
Apr-68,1968,4,16.5
May-68,1968,5,0
Jun-68,1968,6,0
Jul-68,1968,7,0
Aug-68,1968,8,0
Sep-68,1968,9,0
Oct-68,1968,10,11.2
Nov-68,1968,11,4.1
Dec-68,1968,12,40.4
Jan-69,1969,1,15.2
Feb-69,1969,2,19.3
Mar-69,1969,3,7.6
Apr-69,1969,4,9.4
May-69,1969,5,0
Jun-69,1969,6,0
Jul-69,1969,7,0
Aug-69,1969,8,0
Sep-69,1969,9,0
Oct-69,1969,10,13.2
Nov-69,1969,11,20.6
Dec-69,1969,12,12.4
Jan-70,1970,1,17.5
Feb-70,1970,2,16.5
Mar-70,1970,3,19.8
Apr-70,1970,4,3.3
May-70,1970,5,0.5
Jun-70,1970,6,0
Jul-70,1970,7,0
Aug-70,1970,8,0
Sep-70,1970,9,6.6
Oct-70,1970,10,37.1
Nov-70,1970,11,35.8
Dec-70,1970,12,18
Jan-71,1971,1,46.5
Feb-71,1971,2,3.6
Mar-71,1971,3,31.5
Apr-71,1971,4,6.4
May-71,1971,5,0
Jun-71,1971,6,0
Jul-71,1971,7,0
Aug-71,1971,8,0
Sep-71,1971,9,10.2
Oct-71,1971,10,2
Nov-71,1971,11,14.7
Dec-71,1971,12,52.8
Jan-72,1972,1,21.3
Feb-72,1972,2,45
Mar-72,1972,3,12.2
Apr-72,1972,4,20.1
May-72,1972,5,1.3
Jun-72,1972,6,0
Jul-72,1972,7,0
Aug-72,1972,8,0
Sep-72,1972,9,6.4
Oct-72,1972,10,2.3
Nov-72,1972,11,20.8
Dec-72,1972,12,28.4
Jan-73,1973,1,8.9
Feb-73,1973,2,17.3
Mar-73,1973,3,6.4
Apr-73,1973,4,36.8
May-73,1973,5,0
Jun-73,1973,6,0
Jul-73,1973,7,0
Aug-73,1973,8,0
Sep-73,1973,9,0
Oct-73,1973,10,6.6
Nov-73,1973,11,44.7
Dec-73,1973,12,20.1
Jan-74,1974,1,37.3
Feb-74,1974,2,33.3
Mar-74,1974,3,43.7
Apr-74,1974,4,12.4
May-74,1974,5,1
Jun-74,1974,6,0
Jul-74,1974,7,0
Aug-74,1974,8,0
Sep-74,1974,9,3.8
Oct-74,1974,10,0.8
Nov-74,1974,11,0.8
Dec-74,1974,12,26.2
Jan-75,1975,1,13
Feb-75,1975,2,10.9
Mar-75,1975,3,14.7
Apr-75,1975,4,18.8
May-75,1975,5,0.8
Jun-75,1975,6,0
Jul-75,1975,7,0
Aug-75,1975,8,0
Sep-75,1975,9,0
Oct-75,1975,10,11.7
Nov-75,1975,11,7.1
Dec-75,1975,12,41.1
Jan-76,1976,1,16
Feb-76,1976,2,19.6
Mar-76,1976,3,20.6
Apr-76,1976,4,5.6
May-76,1976,5,0
Jun-76,1976,6,0
Jul-76,1976,7,0
Aug-76,1976,8,0
Sep-76,1976,9,0
Oct-76,1976,10,0.3
Nov-76,1976,11,8.1
Dec-76,1976,12,37.1
Jan-77,1977,1,24.7
Feb-77,1977,2,0
Mar-77,1977,3,11.8
Apr-77,1977,4,3.3
May-77,1977,5,13.7
Jun-77,1977,6,0
Jul-77,1977,7,0
Aug-77,1977,8,0
Sep-77,1977,9,0
Oct-77,1977,10,0
Nov-77,1977,11,11.6
Dec-77,1977,12,21.6
Jan-78,1978,1,35.3
Feb-78,1978,2,15.1
Mar-78,1978,3,6.7
Apr-78,1978,4,6.1
May-78,1978,5,0
Jun-78,1978,6,0
Jul-78,1978,7,0
Aug-78,1978,8,0
Sep-78,1978,9,0
Oct-78,1978,10,0.3
Nov-78,1978,11,52
Dec-78,1978,12,11.1
Jan-79,1979,1,5.3
Feb-79,1979,2,50.9
Mar-79,1979,3,9.5
Apr-79,1979,4,42.7
May-79,1979,5,12.2
Jun-79,1979,6,0
Jul-79,1979,7,0
Aug-79,1979,8,0
Sep-79,1979,9,0
Oct-79,1979,10,0
Nov-79,1979,11,11.9
Dec-79,1979,12,43.6
Jan-80,1980,1,30.2
Feb-80,1980,2,22.3
Mar-80,1980,3,24.4
Apr-80,1980,4,6.7
May-80,1980,5,0
Jun-80,1980,6,0
Jul-80,1980,7,0
Aug-80,1980,8,0
Sep-80,1980,9,0
Oct-80,1980,10,9.7
Nov-80,1980,11,1.8
Dec-80,1980,12,52.6
Jan-81,1981,1,9.7
Feb-81,1981,2,15.9
Mar-81,1981,3,14.6
Apr-81,1981,4,4.9
May-81,1981,5,0
Jun-81,1981,6,0
Jul-81,1981,7,0
Aug-81,1981,8,0
Sep-81,1981,9,0
Oct-81,1981,10,4.8
Nov-81,1981,11,0.5
Dec-81,1981,12,18.5
Jan-82,1982,1,73.7
Feb-82,1982,2,22.7
Mar-82,1982,3,53
Apr-82,1982,4,16.1
May-82,1982,5,1.4
Jun-82,1982,6,0
Jul-82,1982,7,0
Aug-82,1982,8,0
Sep-82,1982,9,0
Oct-82,1982,10,13.8
Nov-82,1982,11,18.6
Dec-82,1982,12,5.8
Jan-83,1983,1,10.1
Feb-83,1983,2,17.3
Mar-83,1983,3,27.3
Apr-83,1983,4,4.6
May-83,1983,5,0
Jun-83,1983,6,0
Jul-83,1983,7,0
Aug-83,1983,8,0
Sep-83,1983,9,0.9
Oct-83,1983,10,9
Nov-83,1983,11,17.4
Dec-83,1983,12,22.4
Jan-84,1984,1,26.1
Feb-84,1984,2,6.7
Mar-84,1984,3,18.1
Apr-84,1984,4,0
May-84,1984,5,0
Jun-84,1984,6,0
Jul-84,1984,7,0
Aug-84,1984,8,0
Sep-84,1984,9,3.5
Oct-84,1984,10,48.6
Nov-84,1984,11,23.3
Dec-84,1984,12,37
Jan-85,1985,1,9.1
Feb-85,1985,2,23.4
Mar-85,1985,3,4.2
Apr-85,1985,4,43.3
May-85,1985,5,0
Jun-85,1985,6,0
Jul-85,1985,7,0
Aug-85,1985,8,0
Sep-85,1985,9,4.1
Oct-85,1985,10,6.3
Nov-85,1985,11,29.3
Dec-85,1985,12,28.5
Jan-86,1986,1,11.3
Feb-86,1986,2,10.4
Mar-86,1986,3,30.7
Apr-86,1986,4,33.7
May-86,1986,5,0
Jun-86,1986,6,0
Jul-86,1986,7,0
Aug-86,1986,8,0
Sep-86,1986,9,0
Oct-86,1986,10,5
Nov-86,1986,11,31.2
Dec-86,1986,12,10.8
Jan-87,1987,1,3.3
Feb-87,1987,2,10.2
Mar-87,1987,3,40
Apr-87,1987,4,1.4
May-87,1987,5,34.2
Jun-87,1987,6,0
Jul-87,1987,7,0
Aug-87,1987,8,0
Sep-87,1987,9,0
Oct-87,1987,10,0
Nov-87,1987,11,2.4
Dec-87,1987,12,17.5
Jan-88,1988,1,9.9
Feb-88,1988,2,31.2
Mar-88,1988,3,7.3
Apr-88,1988,4,0.4
May-88,1988,5,0
Jun-88,1988,6,0
Jul-88,1988,7,0
Aug-88,1988,8,0
Sep-88,1988,9,0
Oct-88,1988,10,0.2
Nov-88,1988,11,12.2
Dec-88,1988,12,14.2
Jan-89,1989,1,40.5
Feb-89,1989,2,10.6
Mar-89,1989,3,6.9
Apr-89,1989,4,13.2
May-89,1989,5,18.9
Jun-89,1989,6,0
Jul-89,1989,7,0
Aug-89,1989,8,0
