Date,Open,High,Low,Close,Volume,Adj Close
2011-10-31,12416.88,12519.51,11913.72,12115.10,292693100,12115.10
2011-10-24,12005.66,12541.84,11949.49,12519.51,264965800,12519.51
2011-10-17,12067.69,12084.05,11697.53,11949.49,189477800,11949.49
2011-10-11,11846.43,12094.65,11588.36,12081.73,252253400,12081.73
2011-10-03,11516.86,11819.55,10848.19,11588.36,252061300,11588.36
2011-09-26,11487.07,12057.95,11293.63,11623.84,256814500,11623.84
2011-09-19,12187.11,12356.82,11355.82,11462.87,257012100,11462.87
2011-09-12,12213.95,12466.80,12041.61,12263.71,268286100,12263.71
2011-09-06,12406.08,12745.14,12355.92,12387.54,197421600,12387.54
2011-08-29,12433.54,12798.53,12327.51,12602.41,214888400,12602.41
2011-08-22,12235.94,12410.01,12007.47,12284.31,210635700,12284.31
2011-08-15,12626.85,12715.04,11988.57,12007.47,217101000,12007.47
2011-08-08,11746.98,12603.54,11617.81,12542.20,328220400,12542.20
2011-08-02,13010.58,12996.10,11894.70,12162.17,291031600,12162.17
2011-07-25,13451.46,13494.63,12858.39,12945.63,180466700,12945.63
2011-07-18,13291.43,13516.17,13210.14,13494.63,194768100,13494.63
2011-07-11,13339.52,13428.48,13107.63,13299.54,176839100,13299.54
2011-07-04,13315.42,13474.89,13297.68,13371.70,174488700,13371.70
2011-06-27,12886.00,13301.68,12858.37,13300.87,183056400,13300.87
2011-06-20,12788.96,13160.90,12763.54,12908.89,211227500,12908.89
2011-06-13,13050.24,13122.37,12789.95,12789.95,231426400,12789.95
2011-06-06,13517.49,13538.12,13008.75,13084.00,189654000,13084.00
2011-05-30,13810.57,13901.56,13365.42,13517.91,191191300,13517.91
2011-05-24,13631.70,13856.49,13582.79,13797.59,214020500,13797.59
2011-05-16,13360.60,13682.94,13337.96,13652.27,206481800,13652.27
2011-05-09,13628.29,13690.71,13264.80,13377.16,201519700,13377.16
2011-05-02,13944.79,14089.10,13415.95,13566.60,139842100,13566.60
2011-04-25,13983.30,13997.90,13770.81,13944.79,200409400,13944.79
2011-04-18,13738.75,13977.51,13584.55,13972.02,170400000,13972.02
2011-04-11,14187.78,14208.43,13720.10,13799.12,201337700,13799.12
2011-04-04,14212.66,14314.45,14096.87,14208.43,218785800,14208.43
2011-03-28,14003.62,14181.48,13843.39,14130.15,217383500,14130.15
